HIRESName,FILENAME,RV
103847,r20110419.95,-16.83639989083592
177274,r20050719.166,-32.21322367111608
148284,r20130605.77,1391.812915200227
12484,r20100204.149,-141.345084949035
26736,r20120827.114,-124.16101195189829
180053,r20090413.138,79.30498105660695
183473,r20130702.121,133.7419207145969
193342,r20120926.127,1742.7577850328448
195787,r20091005.81,6273.055898852372
WASP-1,,
197162,r20070902.130,29.89099459654118
220952,r20110623.126,-34.21516439362722
199476,r20130608.155,-12.01264176310796
4307,r20050821.240,16.84959656015002
HIP38340,,
13382,r20060811.225,23.203249184654172
16141,r20150729.184,-19.39290347616168
28005,r20111111.161,-9.017790091103477
24238,r20150830.94,-9.736809614133877
27732,,
28099,,
34445,r20180201.67,-29.876628772983853
33283,r20131117.193,26.046903810282178
38949,r20080127.283,38.157084108239715
74156,r20100330.130,-238.53700115539039
40647,r20041024.212,-2152.0128946565947
85301,r20131118.248,-45.90529602365604
82943,r20050127.160,-98.39608346241056
90711,r20160622.76,-8.073140959818687
89391,,
99491,r20080323.239,16.01892405290538
96167,r20160718.69,23.55700765845657
105631,r20140118.249,29.88905871201759
121550,r20080516.140,-11.341073135288598
126614,r20060412.201,-48.64502835097078
132173,r20080911.68,-10634.99771780815
33142,r20120401.81,-53.149087485365975
95089,,
93461,,
93396,,
76445,r20100426.131,-42.48659328249784
146362B,,
151541,r20130203.139,9.590332220121981
154345,r20060716.182,-24.826618165492803
166620,r20080616.134,9.619016551358397
176377,r20080916.89,-9.927050875952688
210277,r20090703.207,-57.717028096552575
219834B,,
222582,r20111109.126,389.1627382937917
88133,r20131211.180,-35.90720696009157
125612,r20160818.67,171.60552431011268
131183,r20070526.143,-10.11013474513554
130992,r20130829.70,-7.877920447446598
134987,r20080909.64,67.19160879480853
185144,r20090405.151,-17.95903907442018
168009,,
186408,r20060903.128,16.900918399715213
186427,r20120701.125,56.247713300771245
196124,r20081209.89,-8.021491773522682
WASP-3,,
114783,r20100624.136,-45.16566682859786
116443,r20060210.265,10.92324376928551
124292,r20120306.119,21.75123617843445
125455,r20100623.153,-8.527031041168936
126053,r20060210.279,14.342733997731669
151504,r20050629.52,-9.823717151096318
162232,r20110419.137,-38.07049357963734
156342,r20140811.53,-37.03992063390615
HTR196-004,,
203471,r20071026.166,-38.24535013151103
190067,r20180701.122,43.39037946459493
206658,r20180527.80,-9.209342825984649
193690,r20070529.204,-10.079302864478619
205855,r20080623.144,-10.903366604440839
207832,r20070806.180,44.13859406904461
HTR341-004,,
WASP-2,,
200964,r20150712.89,-61.670358190944185
206610,r20131020.92,-52.492543029200995
207077,r20080727.152,-45.98979509131483
205163,r20110525.133,-51.33028478097077
179957,r20180625.113,-22.43194281649951
179958,r20180625.114,21.844843123991016
148164,r20080323.288,-79.10750620537945
161797,r20060711.135,543.879899897512
157214,r20090702.117,9.24319222618574
2946,r20080908.168,-45.92641185023449
1502,r20121229.124,80.26882853232533
4313,r20120215.69,-64.96871703748144
190404,r20150706.136,-7.181242007658881
191785,r20061216.117,6.332167614032075
